Tahun,Wilayah,Intercept_Beta0,Beta_RLS,Beta_STS,Beta_PPK,t_Intercept,t_RLS,t_STS,t_PPK,Local_R2,Condition_Number
2022,Yahukimo,-0.2283347135758559,-0.7175449554729189,-0.062195537901749934,-0.15213122769280538,-1.9447185058713086,-2.771228157821412,-0.27954542278061945,-0.7673466390219795,0.8429402169828016,0.04962333925030194
2022,Yalimo,-0.24779699814641734,-0.7216256780754855,-0.10044266243831959,-0.10812429303234929,-1.9833607646813873,-2.6459886166647872,-0.4168610209234792,-0.5322976729261443,0.8459788079503459,0.025041401630928415
2022,Asmat,-0.21421144413768495,-0.7126537397286992,-0.00630615987193358,-0.23773419042125343,-1.8078054203278595,-2.7421964275406543,-0.02997750688841637,-1.1166022024600195,0.8316703422661563,0.12183906715618793
2022,Boven Digoel,-0.3245205875990462,-0.6263266347431858,-0.17866994971748826,-0.1950854201826187,-2.5776945508932694,-2.2899770352572104,-0.7873680537832877,-0.9316545415786858,0.8520415854529163,0.11388692997765279
2022,Mappi,-0.29013755784114303,-0.6572234035860857,-0.09487657933342211,-0.2538727506882826,-2.266033261595131,-2.3963750207862495,-0.440471129664723,-1.1364643224629005,0.8421604994731199,0.04968859546887701
2022,Merauke,-0.36381357918790846,-0.5824418865265317,-0.19731400235609775,-0.27483092645702867,-2.528547083730188,-1.9484240211034076,-0.8723093209148799,-1.1054985100379462,0.8485270595756708,0.014737825115250326
2022,Deiyai,0.17650929327569312,-0.543253642760622,0.17422690475420421,-0.5044666868044074,1.306899527913356,-1.8965546863885656,0.7764525141703172,-1.6492810716553443,0.7824830324517534,0.06742554502940801
2022,Dogiyai,0.18498896210959678,-0.517042955747535,0.13595311232973967,-0.5371418405549846,1.3977281233579748,-1.8300703120498882,0.6047380291630735,-1.864240758338191,0.7793419861952562,0.04959461294593692
2022,Intan Jaya,0.2021583591958013,-0.5595542250068152,0.18789623739661657,-0.44898105966552343,1.6047082654059017,-2.126981874260676,0.8855498784125453,-1.639736836257221,0.774441095204686,0.05553214793346167
2022,Mimika,0.12427998818841093,-0.6455955198679496,0.2034559831426721,-0.39124203331881535,0.9258534445727479,-2.3268166566797004,0.9329542532535886,-1.307465286380564,0.7746310316512819,0.018809199267725632
